,Layer,Mult,Pos,Average,Matching,Not Matching
94,8,0.0,-5,0.5831409,0.38425878,0.307647
95,8,0.1,-5,0.5828188,0.387436,0.30821875
96,8,0.5,-5,0.581261,0.39765272,0.3112105
97,8,1.0,-5,0.57921785,0.40762174,0.3154011
98,8,-1.0,-10,0.58291316,0.36403668,0.30767572
99,8,-0.5,-10,0.583378,0.3754988,0.3074717
100,8,-0.1,-10,0.583237,0.38273725,0.30757675
101,8,0.0,-10,0.5831409,0.38425878,0.307647
102,8,0.1,-10,0.5830239,0.38566932,0.3077361
103,8,0.5,-10,0.5823561,0.39026546,0.30829006
104,8,1.0,-10,0.5811709,0.39411935,0.30938748
105,10,-1.0,-3,0.5848936,0.35887036,0.31355217
106,10,-0.5,-3,0.586497,0.36746392,0.30675972
107,10,-0.1,-3,0.58380103,0.38143054,0.30704406
108,10,0.0,-3,0.5831409,0.38425878,0.307647
109,10,0.1,-3,0.5826509,0.38675788,0.3083528
110,10,0.5,-3,0.58318084,0.39720878,0.31130114
111,10,1.0,-3,0.5878276,0.40724933,0.31081975
112,10,-1.0,-5,0.5801815,0.31862965,0.30151477
113,10,-0.5,-5,0.5842709,0.35645494,0.30381653
114,10,-0.1,-5,0.58351207,0.37990242,0.3068298
115,10,0.0,-5,0.5831409,0.38425878,0.307647
116,10,0.1,-5,0.5827297,0.38806045,0.3084857
117,10,0.5,-5,0.5808865,0.39936525,0.312033
118,10,1.0,-5,0.57841295,0.41027725,0.31646493
119,10,-1.0,-10,0.5848138,0.35902727,0.3043882
120,10,-0.5,-10,0.5841287,0.37381855,0.3060664
121,10,-0.1,-10,0.58335775,0.38251656,0.30733424
122,10,0.0,-10,0.5831409,0.38425878,0.307647
123,10,0.1,-10,0.5829145,0.38584003,0.30796045
124,10,0.5,-10,0.581897,0.39074507,0.30925414
125,10,1.0,-10,0.580376,0.39457598,0.31101537
126,12,-1.0,-3,0.58285916,0.35891664,0.3168768
127,12,-0.5,-3,0.58659506,0.3720773,0.30789632
128,12,-0.1,-3,0.58370733,0.38215294,0.30720854
129,12,0.0,-3,0.5831409,0.38425878,0.307647
130,12,0.1,-3,0.5828613,0.3865328,0.30827054
131,12,0.5,-3,0.5851595,0.40112436,0.3117439
132,12,1.0,-3,0.59194964,0.41418704,0.3122988
133,12,-1.0,-5,0.5805357,0.33567727,0.30488065
134,12,-0.5,-5,0.583888,0.3648176,0.3052468
135,12,-0.1,-5,0.5833778,0.38107997,0.30702472
136,12,0.0,-5,0.5831409,0.38425878,0.307647
137,12,0.1,-5,0.58290344,0.38721448,0.30833995
138,12,0.5,-5,0.58217573,0.39829904,0.31171855
139,12,1.0,-5,0.5817513,0.41281548,0.31632623
140,12,-1.0,-10,0.58475256,0.36704436,0.30646473
141,12,-0.5,-10,0.5841515,0.3773327,0.30695948
142,12,-0.1,-10,0.58335626,0.38307458,0.30748528
143,12,0.0,-10,0.5831409,0.38425878,0.307647
144,12,0.1,-10,0.5829227,0.3853655,0.30782384
145,12,0.5,-10,0.5820324,0.38923138,0.30870044
146,12,1.0,-10,0.58092225,0.3934882,0.3101841
147,14,-1.0,-3,0.5800988,0.29060844,0.28987038
148,14,-0.5,-3,0.5852212,0.34845927,0.30000266
149,14,-0.1,-3,0.58326596,0.3799123,0.30653927
150,14,0.0,-3,0.5831409,0.38425878,0.307647
151,14,0.1,-3,0.58340776,0.38800508,0.30857837
152,14,0.5,-3,0.5887528,0.4065658,0.31101814
153,14,1.0,-3,0.600148,0.43316996,0.31126082
154,14,-1.0,-5,0.57746077,0.30415034,0.29504767
155,14,-0.5,-5,0.58222365,0.35391486,0.30227208
156,14,-0.1,-5,0.58295876,0.37985778,0.3067775
157,14,0.0,-5,0.5831409,0.38425878,0.307647
158,14,0.1,-5,0.5833655,0.3881055,0.30843604
159,14,0.5,-5,0.5849478,0.40125218,0.31100276
160,14,1.0,-5,0.58816594,0.4192562,0.31310827
161,14,-1.0,-10,0.5831333,0.3599342,0.3042842
162,14,-0.5,-10,0.5832046,0.37487224,0.30634713
163,14,-0.1,-10,0.5831446,0.38273364,0.3074415
164,14,0.0,-10,0.5831409,0.38425878,0.307647
165,14,0.1,-10,0.58314437,0.38564774,0.30783135
166,14,0.5,-10,0.5832608,0.39027202,0.30840304
167,14,1.0,-10,0.5837459,0.39541104,0.30885747
168,16,-1.0,-3,0.573452,0.37622502,0.32192507
169,16,-0.5,-3,0.58257985,0.3647191,0.30584732
170,16,-0.1,-3,0.58233196,0.38117152,0.30792204
171,16,0.0,-3,0.5831409,0.38425878,0.307647
172,16,0.1,-3,0.5843457,0.3865591,0.30703178
173,16,0.5,-3,0.5901729,0.40308708,0.30680898
174,16,1.0,-3,0.5971107,0.42287597,0.30843827
175,16,-1.0,-5,0.56995016,0.32335162,0.3043466
176,16,-0.5,-5,0.57849056,0.35245067,0.30496624
177,16,-0.1,-5,0.5822847,0.37979394,0.30760178
178,16,0.0,-5,0.5831409,0.38425878,0.307647
179,16,0.1,-5,0.5839481,0.38789138,0.3075527
180,16,0.5,-5,0.5862428,0.3998995,0.307369
181,16,1.0,-5,0.5870448,0.4145506,0.3080967
182,16,-1.0,-10,0.5815726,0.35451344,0.3045644
183,16,-0.5,-10,0.58246285,0.37280616,0.30693603
184,16,-0.1,-10,0.5829996,0.382535,0.30763978
185,16,0.0,-10,0.5831409,0.38425878,0.307647
186,16,0.1,-10,0.583282,0.38576606,0.30761272
187,16,0.5,-10,0.5837703,0.3904927,0.3073053
188,16,1.0,-10,0.58406067,0.39559802,0.3068518
189,18,-1.0,-3,0.574579,0.36693284,0.3051413
190,18,-0.5,-3,0.5789507,0.36557296,0.3023711
191,18,-0.1,-3,0.58197695,0.37936112,0.30623415
192,18,0.0,-3,0.5831409,0.38425878,0.307647
193,18,0.1,-3,0.5844012,0.38954148,0.30902076
194,18,0.5,-3,0.5891087,0.40959054,0.31250438
195,18,1.0,-3,0.59431225,0.41715813,0.31063485
196,18,-1.0,-5,0.57725817,0.35965908,0.30444062
197,18,-0.5,-5,0.5805716,0.37012157,0.30482736
198,18,-0.1,-5,0.5826048,0.38138413,0.30708373
199,18,0.0,-5,0.5831409,0.38425878,0.307647
200,18,0.1,-5,0.58367115,0.3870938,0.30816022
201,18,0.5,-5,0.58538634,0.39690512,0.30928317
202,18,1.0,-5,0.58589816,0.3992945,0.30697837
203,18,-1.0,-10,0.5835878,0.37541348,0.30545184
204,18,-0.5,-10,0.58335656,0.37985143,0.30647877
205,18,-0.1,-10,0.5831786,0.38341632,0.30743706
206,18,0.0,-10,0.5831409,0.38425878,0.307647
207,18,0.1,-10,0.5831061,0.38507012,0.3078346
208,18,0.5,-10,0.58295625,0.38785094,0.30828464
209,18,1.0,-10,0.5826497,0.38952816,0.30786783
210,20,-1.0,-3,0.56889904,0.34513482,0.29995048
211,20,-0.5,-3,0.57452875,0.35703233,0.3019406
212,20,-0.1,-3,0.58146393,0.3775217,0.30601776
213,20,0.0,-3,0.5831409,0.38425878,0.307647
214,20,0.1,-3,0.5845607,0.3910058,0.30932918
215,20,0.5,-3,0.5875043,0.41096458,0.31478134
216,20,1.0,-3,0.5866178,0.4189249,0.32051772
217,20,-1.0,-5,0.57667947,0.36256546,0.30471316
218,20,-0.5,-5,0.57943314,0.3704861,0.3056428
219,20,-0.1,-5,0.5824967,0.38140744,0.30717322
220,20,0.0,-5,0.5831409,0.38425878,0.307647
221,20,0.1,-5,0.58367085,0.38696918,0.3081283
222,20,0.5,-5,0.5843365,0.3941996,0.30967024
223,20,1.0,-5,0.58170617,0.38951126,0.30955023
224,20,-1.0,-10,0.5821944,0.38584763,0.3088964
225,20,-0.5,-10,0.58295745,0.3846521,0.30794725
226,20,-0.1,-10,0.58317,0.3843447,0.3076747
227,20,0.0,-10,0.5831409,0.38425878,0.307647
